,id,ra,dec,mag,name_bayer,name_bayer_full,name_english,name_flamsteed_full
5813,139641,234.45416666666665,40.35333333333333,5.24,φ,φ-Boo,-,54-Boo
5814,139663,235.06666666666666,-23.818055555555556,4.96,-,-,-,42-Lib
5815,139664,235.29583333333332,-44.66111111111111,4.64,-,-,-,-
5816,139669,232.85,77.34944444444444,4.96,θ,θ-UMi,-,15-UMi
5817,139761,234.7,34.675,6.11,-,-,-,-
5818,139778,234.38333333333333,54.50888888888889,5.87,-,-,-,-
5819,139777,232.29583333333332,80.44861111111112,6.58,-,-,-,-
5820,139798,234.56666666666666,46.797777777777775,5.75,-,-,-,-
5821,139862,235.04166666666666,12.053055555555556,6.25,-,-,-,-
5822,139871,235.65416666666667,-49.489444444444445,6.04,-,-,-,-
5823,139891,234.84166666666667,36.63666666666666,6.0,ζ¹,ζ¹-CrB,-,7-CrB
5824,139892,234.84166666666667,36.63583333333333,5.07,ζ²,ζ²-CrB,-,7-CrB
5825,139906,234.64166666666665,50.42333333333333,5.84,-,-,-,-
5826,139915,235.97916666666666,-60.28722222222222,6.48,-,-,-,-
5827,139980,235.65833333333333,-37.425,5.24,-,-,-,-
5828,139997,235.48333333333335,-19.67888888888889,4.74,κ,κ-Lib,-,43-Lib
5829,140008,235.6708333333333,-34.71055555555556,4.75,ψ²,ψ²-Lup,-,4-Lup
5830,140027,235.2458333333333,16.02472222222222,6.01,τ,τ-Ser,-,19-Ser
5831,140117,234.78750000000002,57.92444444444444,6.45,-,-,-,-
5832,140159,235.38750000000002,19.67027777777778,4.52,ι,ι-Ser,-,21-Ser
5833,140160,235.44583333333335,12.8475,5.33,χ,χ-Ser,-,20-Ser
5834,140227,234.41250000000002,69.28333333333333,5.62,-,-,-,-
5835,140232,235.475,18.46388888888889,5.81,τ,τ-Ser,-,22-Ser
5836,140285,236.09166666666664,-41.81944444444445,5.94,-,-,-,-
5837,140301,235.84999999999997,-15.043333333333333,6.31,-,-,-,-
5838,140417,236.01666666666665,-15.672777777777776,5.41,η,η-Lib,-,44-Lib
5839,140436,235.68333333333334,26.295555555555556,3.84,γ,γ-CrB,-,8-CrB
5840,140438,235.79166666666666,13.667777777777777,6.48,-,-,-,-
5841,140483,236.97083333333333,-65.44250000000001,6.18,-,-,-,-
5842,140484,236.97083333333333,-65.44250000000001,6.39,-,-,-,-
5843,140538,236.00416666666666,2.515,5.88,ψ,ψ-Ser,-,23-Ser
5844,140573,236.06666666666666,6.4255555555555555,2.65,α,α-Ser,-,24-Ser
5845,140716,235.99583333333334,32.51583333333333,5.56,π,π-CrB,-,9-CrB
5846,140722,236.55,-28.061666666666667,6.51,-,-,-,-
5847,140728,235.70833333333334,52.36083333333333,5.51,-,-,-,-
5848,140729,236.17499999999998,17.264166666666668,6.14,τ,τ-Ser,-,26-Ser
5849,140775,236.34583333333333,5.446944444444445,5.58,-,-,-,-
5850,140784,236.68333333333334,-34.6825,5.61,-,-,-,-
5851,140815,236.41250000000002,0.8913888888888889,6.33,-,-,-,-
5852,140861,236.85416666666666,-40.19416666666666,6.42,-,-,-,-
5853,140873,236.52083333333334,-1.8044444444444445,5.4,-,-,-,25-Ser
5854,140901,236.87083333333334,-37.91638888888889,6.01,-,-,-,-
5855,140979,237.20833333333334,-52.43805555555555,6.07,-,-,-,-
5856,140986,236.6875,-6.120277777777777,6.24,-,-,-,-
5857,141003,236.54583333333335,15.421944444444444,3.67,β,β-Ser,-,28-Ser
5858,141004,236.60833333333332,7.353055555555555,4.43,λ,λ-Ser,-,27-Ser
5859,141168,237.525,-53.20944444444445,5.77,-,-,-,-
5860,141187,236.82083333333333,14.115277777777777,5.71,υ,υ-Ser,-,31-Ser
5861,141194,237.48749999999998,-48.911944444444444,5.84,-,-,-,-
5862,141296,237.5666666666667,-45.401666666666664,6.12,-,-,-,-
5863,141318,237.775,-55.05583333333333,5.73,-,-,-,-
5864,141353,237.05416666666665,13.788611111111111,6.0,-,-,-,-
5865,141378,237.23333333333335,-3.8186111111111107,5.53,-,-,-,-
5866,141413,238.23333333333335,-65.1525,6.54,-,-,-,-
5867,141456,237.00833333333335,31.735833333333336,6.44,-,-,-,-
5868,141472,236.64166666666668,55.474722222222226,5.92,-,-,-,-
5869,141477,237.18333333333334,18.141666666666666,4.09,κ,κ-Ser,-,35-Ser
5870,141527,237.14166666666668,28.156666666666666,5.85,-,-,-,-
5871,141513,237.40416666666667,-3.4302777777777775,3.53,μ,μ-Ser,-,32-Ser
5872,141544,237.87916666666666,-47.06055555555555,6.01,-,-,-,-
5873,141556,237.73749999999998,-33.62722222222222,3.95,χ,χ-Lup,-,5-Lup
5874,141585,238.34166666666667,-62.606944444444444,6.19,-,-,-,-
5875,141637,237.74166666666667,-25.75138888888889,4.64,-,-,-,1-Sco
5876,141653,236.66666666666669,62.599444444444444,5.19,-,-,-,-
5877,141675,236.90833333333333,55.376666666666665,5.86,-,-,-,-
5878,141680,237.57083333333335,2.1963888888888885,5.23,ω,ω-Ser,-,34-Ser
5879,141714,237.39583333333331,26.06833333333333,4.63,δ,δ-CrB,-,10-CrB
5880,141724,238.21249999999998,-50.61527777777778,6.6,-,-,-,-
5881,141767,238.8708333333333,-68.60305555555556,5.09,κ,κ-TrA,-,-
5882,141795,237.70416666666668,4.477777777777778,3.71,ε,ε-Ser,-,37-Ser
5883,141832,238.05,-29.886666666666667,6.4,-,-,-,-
5884,141850,237.67083333333332,15.13361111111111,5.2,-,-,-,-
5885,141851,237.8125,-3.0905555555555555,5.11,-,-,-,36-Ser
5886,141853,237.90833333333333,-14.13361111111111,6.19,-,-,-,-
5887,141891,238.78333333333333,-63.43055555555555,2.85,β,β-TrA,-,-
5888,141913,238.71666666666667,-60.74333333333333,6.15,-,-,-,-
5889,141992,237.8125,20.977777777777778,4.76,ρ,ρ-Ser,-,38-Ser
5890,142049,238.88333333333333,-60.17777777777778,5.77,-,-,-,-
5891,142091,237.80416666666665,35.6575,4.82,κ,κ-CrB,-,11-CrB
5892,142096,238.33333333333334,-20.16722222222222,5.03,λ,λ-Lib,-,45-Lib
